Autor,Comentario
@toyota4600ay,"Que esperabas, hay gente muriendo por el Covid y se la suda, le van a importar aparcar ahí,  incluyendo a los extranjeros que llegan a España y se piensan que toda ella es un resort donde pueden hacer lo que les da la gana.
Ah!, eso sí,  como se te ocurra a ti, un españolito,  hacer eso o cualquier otra cosa fuera de tono.........para que seguir escribiendo."
@nordstatplay8306,"lo q tendría que hacer un eléctrico que llega y no puede cargar, cruzarle el coche detrás, y que com el cable supongo que dará...que ponga el suyo a cargar y de paso que bloquee al caradura."
@nelsonhernandezcontreras7498,Multas o infracciones esa es la solucion!!!
@aikido.fusionyarmonia.,"Quitate el bozal para hablar hombre, te vas a axfisiar."
@vmqt26,"Te entiendo muy bien Saul, a nosotros nos pasa con los aparcamientos para minusválidos y sobre todo en los supermercados, te encuentras casi todos ocupados y hasta aparcan en las lineas blancas que están hechas para poner la silla de ruedas. 😡😡"
@angelbull48,"Bueno Freddie Spencer, mensaje recibido, lo primero es que eres un falton, yo no meto a tu madre en esto, lo segundo y más importante, es que eres un jeta, porque ya dasa entender que si que lo haces, e de igual modo que te jode el coche, tu estasjodiendo el viaje a quien necesita ese punto de carga para seguir, mientras lo tuyo es comodidad, jeta, que es lo que eres"
@Lord_Belial,"Pasa lo mismo con los aparcamientos de discapacitados, que lo veo aún más grave, pero esto es España y la gente funciona así. Falta mucha vergüenza y menos cara en este país."
@ovi9610,"Falta de civismo y educación, pero lo peor es que lo hagan los propietarios de eléctricos, Tesla's, etc. Falta educación de Noruega, ver videos de Bjorn Nyland en los que todo el mundo cumple escrupulosamente los 30 mins de carga y luego lo mueven a otro sitio. 
Saca el rotulador blanco y escribe en los parabrisas"
@rafacoupe11,😡😡😡
@jesusperez3796,Saul. si la gente aparca el los supercargadores de TESLA al aire libre que vas a esperar en un subterraneo?
@evolucion7alf,A la gente les suda la po.... o no lo quieren entender.
@supercell3070,Deberías de hacer lo mismo en los puntos de gasolina para que los jodas
@josemariagonzalezromero8896,Momento idóneo para sacar el rotulador blanco😏
@fmchenlo,En lineas de carga van a tener que poner un asistente humano. Termico que quiera entrar sacarlo antes que lo intente y electricos solo carga incluso que avise por mensaje al titular cuando la carga este completa asi no lo dejan todo el dia y en caso de dejarlo cobrarles un parking costoso.
@oscartenerife9831,"Grande Saúl!!!!
👏🏻👏🏻👏🏻👏🏻👏🏻"
@alean4862,Es como los que aparcan en el vado y te hartas a pitar 🤬
@alean4862,"Y no hay encargado en ese parking?

O aparcar delante y que no puedan salir"
@juankr-,"El parking deberia identificarles y sumarles al coste del aparcamiento, el coste de recarga no utilizada por ocupar esas plazas... Así la próxima se lo pensaban dos veces... El civismo en España es un bien escaso"
@josegarciadelamor5396,"No sé si lo contempla la normativa pero si no debería legislarse. Así si pasa eso, llegas, llamas a la grua y se llevan los no enchufados. Simple. Mientras llega esa grua aparcas delante de un vehículo no enchufado y si es posible con un alargador empalmas hasta tu coche (para no perder tiempo de carga)"
@pacosanchez4691,"Saul, adelante con el rotulador blanco !!!! Jajajaja"
@brastor,"La gente les falta respeto y sentido común, sólo hace caso cuando les lavan el cerebro desde la televisión y las RRSS"
@jesusasencio7082,Más denunciable son los reservados para minusvalidos.
@LEKEITIO1979,"Se llama falta de respeto es asi no hay mas, te entiendo👍"
@josuevz0,"Saúl eso es mi día a día, me compré mi primer Tesla, coche eléctrico y coche hace 2 meses... no tengo punto de carga y cada vez que voy a cargar en CC me encuentro con esto o que no funcionan los PdR.. por suerte existen los supercharger pero siempre trato de evitarlos para no estropear la batería. Saludos"
@EduardoGonzalez-rc6kk,"Queda mucho camino por recorrer... Recien llegado de mis vacaciones en Portugal con mi model 3. ¿Que me decís de aquellos que ocupan plaza de electrico, cargan su coche pero se despreocupan de retirarlo cuando han cargado el 100%? Hablemos tambien de prioridad... Hibrido enchufable vs Electrico Puro... En fin... Esto da para un rato...."
@robertoallende3630,A que en esos puntos cobran por cargar? Vaya morro tienen algunos
@ernestodominguez3857,"Lo tienes fácil Saúl, envía el vídeo a la Policía Local, Guardia Civil y/o donde corresponda y tomen las medidas reglanentarias, ya que se ven claramente las matrículas. Si todos lo hicieran, seguro que nos iría mucho mejor"
@Morrison7,"Esta muy bien la crítica Saul, pero puedes cuidar tus modales y tu vocabulario. La próxima vez no hagas el video en caliente, sereno te salen mejor y tu tono ácido criticando se hace más interesante. Piensa en nuestros hijos."
@fernanshay,HAHAHHAHAHAHA sip la verdad molesta
@robertoguerreromartin4971,Deberían sancionarlo
@mateolopez2509,Al final del vídeo se ve un coche térmico que llega a la altura del estacionamiento con pdr que estaba libre. Intento meterlo ahí?
@alexyaurizevallos244,Es tan jodido. Imagina un montón de vehículos estacionados en una grifería
@albertoecker5196,Yo solo pensar que tuviera una urgencia para poder cargar y encontrarme con eso es bufff... multa a diestro y siniestro. Hay jetas por todos los laos... cagun les pites.
@Josanmoret,Saúl Lopez te veo tan cabreado que hasta la mascarilla la llevas al revés.  La gente no tiene las cosas claras aún con los vehículos eléctricos ? . Saúl haz cursos de formación para propietarios de eléctricos sobre las buenas prácticas de uso con los eléctricos. Esto lo veo a diario en los aparcamientos privados por desgracia la gente no tiene conciencia cívica .
@nesthorvilla9965,La gente piensa que no hay coches eléctricos si lo dice el director le la DGT.  Eso su que es una verdadera vergüenza
@blascargar4252,Si aparcan en plazas de minusválido o en vados no van aparcar ahí.
@maevaz8770,"Saúl esto es impresionante con la gente,  y con lo de la mascarilla y la distancia en el bar de atrás es igual"
@ricardomuor,Totalmente de acuerdo
@josecarmonafernandez149,Menos mal que en España no podemos llevar armas como en Estados Unidos. Por qué con el rebote que llevas no se que abrías hecho 🤣
@diegorp5651,Ahahahhah ce mamaron
@androidlogin3065,"¿Cuándo se aplicaran las 'multas' de 100€ a esos sin verguenzas? Son plazas 'reservadas', que se aplique la ley de una maldita vez y los 'sancionen', y ya veremos si siguen haciéndolo."
@bernardcalvo,Pues date un paseo por el parking de la estación de autobuses.... vas a flipar...
@salvadorllansola2754,"Así nos crece el pelo.
Es la educación que tenemos"
@davidgaliana3969,En españa no existe la vergüenza 🤪👎
@Jorcivic,"y reza que no te peguen un portazo, ya se sabe la educación, envidia y egoísmo que existe por estos lares, y todo lo que no es de uno pues respeto y consideración cero..."
@javierruiz5028,Las plazas con punto de carga deberían de estar al final del parking. Que solo quisiera ir quien quiera cargar
@javierruiz5028,"Cartelito, poco más puedes hacer"
@GonzarupaEBYC,"No tendrían porqué pero, los de seguridad del parking podrían hacer algo. No sé si están capacitados para multar o llamar a las autoridades para proceder a una denuncia, pero deberían de darse de vez en cuando alguna que otra vuelta por donde buenamente puedan sin desocupar por completo la sala de monitoreo e intentar ayudar en estas cosas"
@ignaciolopezresano3353,like
@blackball255,Esto ocurre con las tarjetas de minusválidos desde hace mucho tiempo. Y eso si es preocupante porque puede arruinarte una visita.
@alaynf5293,Disfruta de mi pueblo. 🤗
@1996MiguelAngel1996,"Duda?

Legalmente se puede llamar la grúa para que se lleven el coche?"
@Ibarra20091,Problemas del primer mundo
@joseurena6549,"Es que no tenemos normativa, ahora dependemos del nivel ético-educativo de los conductores, eso debe ser puesto bajo leyes y con penalidad."
@enricdelpozocoma.433,"Estamos en un país donde al personal se le da muy bien salir a los balcones a aplaudir 👏 y parecer muy solidario. Pero un país experto en dar por el saco al prójimo y donde se aplica el refrán de: Vaya yo caliente ríase la gente.
MUCHO GOLFO SUELTO."
@amenophisvlc688,"Aquí lo mismo, 🤣😔"
@andreu8510,Bienvenido a ajpaña...
@danielyara4,De la Concha...
@Adri02,"Yo estuve hace un par de semanas en ese mismo parking y había 5 teslas cargando, tuvieron suerte"
@Pipipott,La gente no piensa en nada.
@McarpinteroGaliano,Saull tienes que empezar a mentalizarte el tema de la movilidad eléctrica hasta hace cuatro días era de uno romántico pero ahora empiezan tal todo tipo de personas entre las cuales habrá una minoría seguro una minoría que son unos jetas y unos desconsiderados y eso es inevitable😷😢
@FurKenFK,Tenemos que empezar a hacer quedadas para bloquear gasolineras.
@Eloy.1972,"Entiendo tu enfado, Saul, a parte de luchar por la falta de cargadores, también hay que meter el pco civismo de la gente. vergonzoso, sin más"
@altramuz00,"No hay educación, ni te molestes en comprenderlo saul...."
@TheGFailure,Pena no haber sabido que estabas y te hubiera ayudado a darle caña....
@javip9064,"Yo aparcaria mi  Xiaomi m365 pro, pero lo pondría a cargar :)"
@josealfredorubio2274,Que razón tienes
@RENAULTSPORTASTURIAS,Se la sopla la multa ya y todo.gente mayor con dinero que se la sopla todo pa 4 dias que les queda. Si hay sitio de sobra en el parking entonces si que habia que insultarlos jajaja
@Jabymg19,Vas a tener que comprar una caja de rotuladores... Con uno no tienes para tanto sinvergüenza!😅
@pedrocuesta3099,"Al igual que hay plazas reservadas para motocicletas, y estacionan otros vehículos, podrían cometer infracciones; debería de pasar igual con los hechos que describes, exactamente igual de reprochable cómo dices."
@michaelmrlr7586,España.......se la sopla todo a mucha gente.....de ahí la situación que hay en España.....da penita
@TodosElectricos,"Estuve en el mismo parking el año pasado y no tenía este problema. De hecho, en todas las plazas para electricos no había nadie. Este es algo que culturalmente no se debe normalizar ya que sino, se acaban las posibilidades de cargar."
@user-fn1zz2ue8o,"hay personas que aparcan en plazas que no les corresponde y hay gente que se pone la mascarilla al revés creyendo que eso les va a proteger a ellos en vez de a los demás y tienen una cosa en común, que lo hacen por egoísmo o por despiste. PÁSATE A LO ELÉCTRICO AAAUUUUUUUU"
@pepefernandezrivero9240,"A mi esas cosas no me pasan porque me lío a palazos con los coches, si es en mi urbanización que una vecina aparca el coche muy retirado de la pared y los demás no podemos pasar bien con el coche y ya llevo 4 notitas, 2 llamadas al telefonillo y 1 llamada a la grúa municipal NO ME QUIERO IMAGINAR SI ME PASA ESO"
@Limoneti,Empieza a sacar obuses y saca el rotulador a pasear también 😁
@magirusmagirus8045,"chapeau Saul, a ver si con un poco de suerte ven el vídeo algunos de los caraduras, ellos o algún conocido, que les de un poquito de vergüenza al ver sus coches en el vídeo al menos, la explicación a ese tipo de conductas es fácil, un amigo la resume con una estupenda frase desde hace mucho tiempo, ""Cada uno va a lo suyo, menos yo que voy a lo mío"""
@yoyyaesta4808,"El cartel pone claramente en tres idiomas ""Sólo coches eléctricos"".
Sin embargo este también es un tema importante: habría que exigir la correcta señalización ( R-308 y texto ""solo coches eléctricos cargando"" ) para que luego no haya problema al multar y retirar el vehículo."
@slcuervo,"Sí, lo sé, con el ataque de mala hostia que me entró al ver los coches, me puse la mascarilla del revés... 😅😅"
@UleeV90,"Nunca había visto a Saúl tan enojaoo.

Justificado.

psedit:  Y eso que me he recetado buena parte de sus videos."
@ricardalbert3536,ESTO PASA MUCHO!!! ES MUY TRISTE!!!
@JavierMorentin,"De lo malo la mayoria son electricos o hibridos enchufables aunque no esten enchufados, ahora sabras lo que siento yo cuando voy a aparcar en zona reservada para personas con discapacidad y tengo la plaza ocupada por un coche sin tarjeta."
@MileuristaconPanza,Perdón ahora bajo
@David23FS,"En el cartel pone ""Solo coches eléctricos"", no ""Solo coches eléctricos enchufados"".
Pon una queja en el local y que lo cambien, pero yo quitando a tu amigo y otro coche, el resto los veo bien aparcados según las indicaciones del parking."
@dabelfio,Civismo  esa palabra no  la conoce la gente pero más crítica es que los que llevan electrico no carguen quitando la plaza a uno que lo necesita por favor respetar para que te respeten
@Prestidigitad0r,Llevas la mascarilla al revés
@joseluislista5586,"Amigo Saul te olvidas de un detalle, estas en España, ¿que esperabas?"
@sergiorapita,"Yo les quito el aire a las cuatro ruedas de todos los coches que no estan cargando. Ya que me joden el viaje a mi, pues ellos que no se vayan de rositas y pierdas tantas horas o mas que yo. Los granitos de arros hacen maravillas para gente asi."
@Loren0004,"Los de los térmicos diría que más de la mitad, están tan atontaos que ni se han dado cuenta. Pero lo de los eléctricos denota ese pensamiento tan típico de listillo de ""jeje, yo tengo un eléctrico y aparco en la puerta"", sin pensar si quiera la razón de ser de la prohibición, o peor aún, pensándola y diciendo ""aquí dice vehículos eléctricos, pues tira"". Patético."
@EN-fs8sc,Creo que después de grabar este video saul se quedo sin tinta en su rotulador.
@gatalua,"Muy fácil, le plantas tu coche en doble fila y cargas tranquilamente. Cuando vuelvas si está esperando le sonríes!"
@edwardma-6559,"Ésta es la consecuencia de la falta de cultura, de educación, de conciencia, de civismo y un exceso de maldad y de ignorancia."
@QuantumAlchemyst,"Esto se arreglará definitivamente al igual que pasa con los negacionistas del Covid 19 a los que se la suda ir sin mascarilla y contagiar a otros. Tendría que estar castigado penalmente como si llevaras una jeringa con virus del sida y amenazaras a la gente. De hecho es como ir con un arma cargada, pero como en todo, las administraciones son leeeentaaaaas y no ponen el semáforo hasta que no hay muertos en la intersección. Mano dura y se acabó el problema. Es ese tipo de individuos egocéntricos a los que no les importa nadie más que ellos... No te sulfures Saúl, esto se arregla, aunque pueda parecer muy bestia, con cuatro coches reventados. Entonces se lo pensarán dos veces antes de actuar de esa forma. Pero lo harán para evitar que les vuelvan a reventar el coche, no porque se den cuenta de lo nefasto e impresentable de su actitud. Pero bueno, aunque sea por interés propio dejarán de joder a los demás. Hay gentuza que solo mira por si misma, cenutrios por lo general, material defectuoso que allí donde van lo joden todo y van sembrando mierda por doquier... huyyyy, perdón perdón, es que se me ha calentado la lengua, a mi tb me sacan de quicio... 😷"
@MalChicho1,Toda la razón lo mismo que el supercharger de fuengirola llame hace un año y mandé mails a tesla Iberia y el encargado de infraestructuras de tesla Iberia me llamo y me prometió y aseguró que la cosa cambiaría allí y que paso? Una mierda
@arrastaka11,Tienen q poner algún sistema de pivote q se desbloquee a la activación del punto de carga y si te pasas de listo activas aparcas y no enchufas q te cobre verás como nadie aparca.....ahhh y Donosti is different!!!!
@stefanomodesti3825,Tio estás en Donosti. Ostras cuantos días duraras???
@ochoocho88,Civismo es lo que necesitamos
@jonatan7003,Tienes toda la razón
@dvrchweesse1frfdozemkaanai594,"El Ford Focus azul que está al lado de tu coche también habría que echarlo a patadas, al muy guarro, ahí choriceando plaza











😂😂😂😂"
@Pauzen69,"A lo mejor alguien les raja las 4 ruedas, Y APRENDEN!"
@juancisneros9654,Es q usualmente estarán libres entonces les vale y lo aparcan
@yoyyaesta4808,"Existe un grupo de personas, ponle un 10% que viven desconectados de la ética. No ven o no ""quieren ver"". 
Y por eso el único sistema son las multas."
@Lamaffia360,"Si hay mucha gente que no es consiente del coronavirus que está la vida en juego, crees que la gente tendrá empatía para hacer las cosas bien en los parking eléctricos.. 

Esto no es Alemania .."
@The_BlindAlley,"Pues nada aparca en doble fila te pones a cargar y dejas un teléfono en el salpicadero,  cuando te llamen vas con toda la calma del mundo."
@AldoBarahona,"Es un tema de ser civilizado, muchos dicen serlo incluso exigir derechos,  cuando ellos no los respetan, y van de listos, ojo dudo que a estas alturas alguien no distinga los colores y porque están ahí! De ahí que la pandemia continúe, ahí tienes a los chinos, ya la han superado en base al respeto."
@LLON87,"Pues tienes toda la razón Saúl. Si de por sí es difícil encontrar un punto de carga va y te encuentras de que la gente no tiene ni la mínima educación de dejar esa plaza libre para los vehículos que lo pueden llegar a necesitar. Pero ya el colmo es que los propios dueños de los eléctricos aparquen en esas plazas sin cargar pensando que esa plaza es para ellos como si fueran dueños. Como dices tú Saúl, vergüenza le tenían que dar a todos. Por ciento inflate a dejar escritos en los cristales con el rotulador."
@reowdes,Pues llama la policía envés de hacer un video?
@japostua,"Mucho sinvergüenza hay. Para mí más delito tienen los dueños de los eléctricos y no estén recargando. Es un punto de recarga no de aparcamiento, a ver cuando le entra en la cabeza a la gente. A mi cuando me pase (aun no tengo eléctrico) te aseguro que aparco delante (tiro el cable y me pongo a cargar) y me voy, de ahí no sale"
@pbsbs3751,Se podría hinchar a meter multas la policía local
@alvarohurtado125,"La verdad esque la gente es asquerosa 
1. Si tienes un térmico ni te hacerques a esas plazas.
2. Si tienes un híbrido enchufable aparcas y cargas.
3. (Lo peor de lo peor).Si tienes un eléctrico aparca pero carga.
De verdad no entiendo a la gente apartir de ahora todos los eléctricos que aparquen en la gasolinera a ver que les parece, y los térmicos que aparque en la gasolinera pero no reposten a ver que les parece al resto de térmicos de verdad cada vez pierdo más rápido la fe en la humanidad 😡😡 😡😡

Tengo 15 años y me encantan los eléctricos pero hay gente que no tendria ni que tener carnet de conducir

Ojala esto lo lea Saul
Por cierto gracias por comunicar esto 😊"
@pacomoreno3698,"Llevas razón, Saul da vergüenza yo tengo un térmico y no se me ocurre ocupar un cargador para electricos, me daría vergüenza 🤦‍♂️"
@lobra7,"Yo llego allí con mi coche eléctrico y lo pongo delante de uno de esos térmicos a cargar, y el otro cuando venga a sacar su coche que se joda a tomar por **"
@luismiliberal,"totalmente de acuerdo, a mi este verano me han hecho sufrir para poder recargar por culpa de gente como esta"
@artuo.3283,Me has recordado a Spiriman echando esa bronca. Mucho ánimo para él y fuerza Yeah!!
@rodrigoflash,o se hace desde la administración o no hay solución. Si hay ley luego es foto y denuncia¡
@PascualDimas28,Espérate cuando el mundo sea eléctrico puro veo a Saul creando un canal de quejas Jajajajaja ahora fuera Coñas hay mucho Irresponsable que no tiene ni idea de lo que es un coche eléctrico o híbridos enchufados y muchos se compran coches eléctricos sin consultar su funcionamiento y si hay puntos de recarga es una Vergüenza tú lo has dicho Saul López
@lucho_socorro,El último auto que iba llegando al aparcamiento era Diesel y se iba a aparcar.😂
@BlackMss,"Toda la razón del mundo Saul, el parking un 10, los incivicos y los que dan el mal uso los usuarios, y siendo propietarios... vamos, que poca empatia, podrian ser ellos los que necesitaran ese punto de carga, es de idiotas ocupar un ""surtidor"", aparcado, lo mismo los primeros bah, esta vacio... los siguientes, bueno hay dos pos yo tb, el ultimo, justo el que necesitaba cargar de verdad. NoNo y No."
@gonzaloaranda5590,Playa de la concha... incojonuda.... y se la soplan .....  😁😂😃😀😅
@eugenioayuso5571,"Estamos en España Saul,como eso la gran mayoría de las  cosas.
Tenemos lo que educamos."
@oblitum,El coche azul del final iba a aparcar en la plaza que había libre en los cargadores. Menos mal que no lo hizo sino Saúl lo Mata. 🤣
@dg59sf24wt,"Pasa igual con lo s aparcamientos de minusvalidos, en españa hay gente iresponsable..."
@ozu339,Llama a la policía local
@JavierRigaud,"La cuestión del morro, el egoísmo, la jeta, la falta de empatía que se tiene en general por el prójimo es endémica en éste país, aunque tampoco es el único.
Aquí sólo entendemos a base de multas y palos. Somos así, y no te encabrones porque no tiene remedio. :o("
@angelbull48,"Hay una solución, con una llave o una punta, se les deja un mensaje en el capot"
@krowperez,proximamente powerbanks para teslas xDDDDD
@Axlagain,Hay algún cartel que ponga que es una plaza exclusiva para cargar? De todas formas es un clásico ver coches térmicos aparcados en plazas de carga
@juanmanuelmartinmacho6715,No llevas el rotulador Saúl
@miguelangelsfd,"No tengo coche eléctrico pero jamás se me ocurriría aparcar ahí. Es una insolidaridad absoluta, por decirlo suavemente."
