Autor,Comentario
@davidcanas1146,Espero que dentro de poco la los quiten con grua
@byronseisseisseis732,"Ja ja ja.... Lo tuyo es informarnos de carros. Ese es tu fuerte.   Las injusticias sociales de tu cultura no tinene mayor importancia.  Ya con la nuestra en nuestros propios lugares, con eso es suficiente.  Gracias por seguir con la información automotriz. Adelante.  Saul."
@larganza,"Esto es un mal endémico que se vive en España, bien sea en plazas para minusválidos, bien sea para eléctricos... A la gente le suda la picha todo. ¡Ahora bien!. No se te ocurra joderle el día a un jeta de estos, que te monta un pollo de tres pares de cojones. Como propuesta a esta cuestión, supongo que habría que poner barreras de suelo accionables solamente por personas con coche híbrido enchufable o eléctrico. La barrera solamente se bajaría al enchufar el coche en el wallbox. Habría que mirar cómo se podría hacer eso, pero supongo que tecnología hay para conseguirlo. La cosa sería así: Te acercas a la plaza para eléctrico, te bajas, enchufas al wallbox (momento en que baja la barrera) y aparcas. ¿Es posible?. Yo pienso que sí y si no lo es, habrá que inventarlo, porque si no..."
@jesuscapuchino7911,Tienes toda la razón Saúl y si hay motivo y razón para estar molesto es momento de que ya empecemos hacer conciencia y en verdad empezar a molestarse por cosas que antes decíamos hay pa la otra está bien pero no tenemos que ser más conscientes y solamente con gente que hace ver errores o nos hace reconocer que estamos mal en algo es cuando puede empezar un proceso de autorreflexión y cambiar conductas gracias
@franciscomurillofernandez7994,tienes toda la razón Saul y me parece correcto que saques la matrícula de todos estos vehículos. Es intolerable el poco civismo que hay.
@ivanivan4904,"toda la razón Saul__y te lo dice un Donostiarra__una vergüenza_poco mas que añadir__bien dicho- todo mi apoyo Saul--poco mas que añadir, un comportamiento de lo mas reprochable, y el que no lo vea asi , que se lo haga mirar."
@jesushernandez-mn6qz,Que es eso de térmico?
@JC-fi8xn,"Estás en España. ¿Qué esperas?
Saludos."
@danireina8,aqui si que tendrian que poner multas y no en otras tonterias ...
@LordRodtan,"He visto q muchos híbridos o eléctricos no enchufados... Yo creo q la gente se piensa que teniendo eléctrico esas plazas son para ellos, no las ven como ""surtidores"" si no, como plazas reservadas para eléctricos."
@Camilos1110,"Uff que te digo Sergio, eso pasa constantemente en todos lados no hay una cultura de conciencia"
@civertron9784,"Ahi se ve tambien que la mentalidad de los que llevan electricos/hibridos enchufables tampoco es muy distinta.

En Cantabria tambien pasa eso, se creen que por ser electrico ya pueden dejar el coche aparcado en las zonas de recarga.

Para la proxima, lleva un cable de recarga mas largo y dejas tu tesla aparcado frente a ellos sin que puedan salir."
@Pedro-vn1lq,Creo que llevas la mascarilla al revés.
@ogarbanz,"JETAS DE CAMPEONATO,  ese está bueno."
@iosebae,A mi que un térmico como lo llamas aparque me parece vergonzoso tanto como los que tienen el eléctrico y consideran que es su parcela para aparcar cuando quieran y posiblemente a menor precio o gratis. Ecologistas por interés? O jetas y sinvergüenzas como los otros. Solucion si tienes que recargar aparcas en frente y avisas al del parkin . Y cuando te diga que no puedes aparcar así le dices que tienes que recargar y no hay plazas y que sancionen a esa gente.
@groundman7431,si no fuera por estas practicas egoistas.como ibamos a saber que estamos en españa?
@5653sonic,"Quisiera verlos en Holanda hacer lo mismo , ...MULTA...."
@adosfilos,"Es peor los que aparcan en MINUSVALIDOS sin serlos. (Tengo un hijo en silla de ruedas y es un infierno ir a un centro comercial)
Siempre están ocupados la mayoría sin tarjeta de minusválido, te quejas, pero como es un parquin privado la policía no puede hacer nada.
Tengo una plaza propia de minusvalido CON MATRICULA. Pues cuando llamo a la Urbana se lo lleva la grua y les ponen 200 Euros de multa.
Pues ENCIMA ME RAYAN EL MONOVOLUMEN ADAPTADO Y ME PINCHAN LA RUEDAS.
Y tu Saul te pones de mala hostia porque no puedes enchufar tu coche electrico. Pues imaginate como me pongo yo."
@Ryorr,y que esperas? estas en españa
@BlueHorsie,Yo les pinchaba las ruedas a todos... por egoistas
@johnearl6720,"Esto no es Noruega, Saúl, es España, más concretamente Marca España. Por eso hay quien no entiende que dejar un vehículo cargando por las noches en un punto de carga en la calle es jugar a la ruleta rusa. La preparación no es sólo en infraestructuras cuando nos comparamos como otros países más avanzados en movilidad eléctrica, es en la cabeza también. En el vado comunitario del edificio tenemos una lucha parecida, hay una tienda enfrente de la salida que vende mucho y a diario te aparcan enfrente o en el mismo vado, para pasarse cruzando la calle a comprar y no andar unos pasos de más. Podrían dejarlo mal como hacen pero unos metros más adelante y no fastidiar, pero aquí somos así, buscamos la solución más rápida y más cómoda aunque fastidiemos al resto. Estamos a años luz cívica y culturalmente del resto de países, como Noruega, Alemania, Suecia, etc etc"
@gallegorz8369,"Con un poquito de comprensión y poniéndose un poco en el lugar de la otra persona se solucionaban muchas cosas, pero como en España somos yo y yo y luego yo, o Maicon el último, así nos va"
@LappingMaster,El egoísmo es un defecto muy extendido.
@mesparcia2001,"Me he enterado del plan renting de tela, puedes hacer un vídeo al respecto?
Gracias.
pd: en España cada uno va a su puta bola...como no le aranés el coche o le pongas notitas la gente pasa"
@tampoib0,Yo cuando algun listo usa minusvalido sin serlo rajada de neumaticos y se acaba la historia ya no aparcan mas
@tampoib0,Yo tengo una pierna amputada y si vieras la cantidad de gente que estaciona en minusvalido... incluso en parking de minusvalido de supermercados y la policia dice que en los supermercados no puede intervenir porque son privados
@ekialdeko,"Bueno, seguro que de entre los que estaban mal aparcados ninguno era de Donostia. Los guipuzcoanos tenemos más educación que todo eso. 😎"
